Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial1.wav,0.00406227063272814,15451.171875,11.2498884935481,31926.9373454246,15975.3048266533,0.0028759793334306,15337.646484375,11.3108723873357,31816.5704863974,15916.505740671
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial10.wav,0.0038664281583399,15418.9453125,11.3593922833878,31764.687756779,15892.3464814604,0.0028723666905683,15385.25390625,11.3189771174938,31825.6984387839,15901.3301433205
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial11.wav,0.00450230329191233,15685.546875,11.3726894424906,31759.3085106383,15908.3966245089,0.00316216062767067,15604.98046875,11.298026296794,31830.8101472995,15885.4930462871
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial12.wav,0.00384315335225283,16073.73046875,11.387654303324,31735.4938271605,15892.4584163481,0.00324019080224821,15487.79296875,11.3352362209117,31790.4320987654,15874.5324793907
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial13.wav,0.00384540284021184,15611.572265625,11.3789019079226,31729.6106557377,15858.8045815785,0.00224202077806457,16325.68359375,11.3810118725487,31749.8975409836,15875.9689853285
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial14.wav,0.00423645427622233,15572.75390625,11.3538183970801,31724.3248772504,15888.5932974919,0.00214127741076593,15759.521484375,11.3078451564663,31825.2864157119,15916.1135399262
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial15.wav,0.00489652572770843,15306.15234375,11.3697600458963,31722.6658476658,15884.7207455919,0.00250461650137547,16009.27734375,11.3798999565319,31791.1547911548,15903.4983450979
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial16.wav,0.00520265763796393,15848.876953125,11.3376436232816,31690.875613748,15898.3823780117,0.00250915761928555,16167.48046875,11.3655081641873,31745.8060556465,15901.2311271139
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial17.wav,0.00274547216630032,16089.111328125,11.3663389658905,31856.7901234568,15923.0689452832,0.0024196077560923,15441.650390625,11.3695612664833,31741.975308642,15897.6781954022
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial18.wav,0.0041259520883408,15514.16015625,11.3960054759683,31776.8662838392,15889.2333149596,0.00318802336826413,15717.041015625,11.3972334071653,31764.8687448728,15923.7805774647
