Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\sano_axel\art1.wav,0.0103827712758748,15768.310546875,11.3759811715153,31843.8162076271,15908.5423023719,0.00396923469901962,15745.60546875,11.3894616888968,31810.0503177966,15940.8549886861
C:\Users\Andrea\Desktop\TESIS\sano_axel\art10.wav,0.00779396333082483,15651.85546875,11.3722924580008,31853.3501059322,15941.200241009,0.0033827285780825,16173.33984375,11.3869191808504,31905.1906779661,15954.0155823337
C:\Users\Andrea\Desktop\TESIS\sano_axel\art11.wav,0.00773195407069449,15271.728515625,11.3205720971178,31837.4602754237,15963.5067088877,0.00382557116823281,15314.208984375,11.3547562098943,31897.4443855932,15950.0683479338
C:\Users\Andrea\Desktop\TESIS\sano_axel\art12.wav,0.00848850221165368,15704.58984375,11.3882969543419,31911.5466101695,15944.809313744,0.00314868264830971,15941.89453125,11.3957366436928,31861.6922669492,15929.9177777174
C:\Users\Andrea\Desktop\TESIS\sano_axel\art13.wav,0.0114703425037699,15604.98046875,11.3818343402186,31783.6334745763,15954.5294175205,0.00334279036435057,16293.45703125,11.3630327460279,31906.7796610169,15961.47439568
C:\Users\Andrea\Desktop\TESIS\sano_axel\art14.wav,0.0127421177901928,16634.033203125,11.3516502630951,31809.4544491525,15928.2560468292,0.00506868684468133,15859.130859375,11.3099133405891,31938.7579449153,15929.8550721997
C:\Users\Andrea\Desktop\TESIS\sano_axel\art15.wav,0.00896436819474019,15478.271484375,11.3390223519321,31802.8998940678,15887.9997091082,0.00439804090069675,16592.28515625,11.403133149716,31923.4639830508,15997.9369333371
C:\Users\Andrea\Desktop\TESIS\sano_axel\art16.wav,0.0111995374492795,15380.859375,11.3517996556534,31830.3098516949,15946.8710497881,0.00383000102951456,15618.1640625,11.354489520959,31912.5397245763,15992.3347285227
C:\Users\Andrea\Desktop\TESIS\sano_axel\art17.wav,0.00748844547171263,15412.353515625,11.3747171244869,31801.7081567797,15919.2136429223,0.00263269521375009,16201.904296875,11.3999296754029,31827.5291313559,15943.3437223566
C:\Users\Andrea\Desktop\TESIS\sano_axel\art18.wav,0.00872493422785566,15512.6953125,11.3471258162466,31825.5429025424,15940.9324502508,0.00279410722591821,15499.51171875,11.3941899154113,31900.6223516949,15946.9077551796
C:\Users\Andrea\Desktop\TESIS\sano_axel\art19.wav,0.0103324378429913,16328.61328125,11.3597678051606,31827.7277542373,15927.463202814,0.00290519894805387,16597.412109375,11.3803430660852,31925.6488347458,15986.2006747566
C:\Users\Andrea\Desktop\TESIS\sano_axel\art2.wav,0.0106247031749473,15668.701171875,11.3630952947137,31769.53125,15946.1539376008,0.00774535842500895,15462.890625,11.2205808047384,31836.6657838983,15694.7856259524
C:\Users\Andrea\Desktop\TESIS\sano_axel\art20.wav,0.00914530415381308,16160.888671875,11.3962177781037,31809.2558262712,15958.5141005952,0.00339773964130197,15928.7109375,11.4014779976742,31854.1445974576,15961.8182682593
C:\Users\Andrea\Desktop\TESIS\sano_axel\art21.wav,0.00736937005721006,15280.517578125,11.3567215109158,31813.2282838983,15905.5369328859,0.00311173500461323,15321.533203125,11.3804283611826,31798.1329449153,15911.2589211533
C:\Users\Andrea\Desktop\TESIS\sano_axel\art22.wav,0.0104071345979598,16333.740234375,11.349090943442,31791.9756355932,15932.1318057419,0.00294661450382356,15339.84375,11.3732738221834,31857.5211864407,15944.4170956069
C:\Users\Andrea\Desktop\TESIS\sano_axel\art23.wav,0.0115606824384456,15227.05078125,11.3825938529331,31831.5015889831,15925.4985208817,0.00312118865454754,15574.951171875,11.3622176472121,31896.8485169492,15970.0902658648
C:\Users\Andrea\Desktop\TESIS\sano_axel\art24.wav,0.0130107961662424,15593.994140625,11.3743775040725,31818.9883474576,15949.3592349811,0.00291831115031793,16346.923828125,11.3801364983844,31897.6430084746,15973.2887438287
C:\Users\Andrea\Desktop\TESIS\sano_axel\art25.wav,0.0114354248999258,15567.626953125,11.3640990527069,31793.5646186441,15908.2562056936,0.00285657569142471,15556.640625,11.3729031364038,31910.9507415254,15989.7056435425
C:\Users\Andrea\Desktop\TESIS\sano_axel\art26.wav,0.0110132469296115,16552.734375,11.340279255288,31804.2902542373,15928.8587049447,0.00335663255199357,15472.412109375,11.3829104350051,31854.5418432203,15949.9916877782
C:\Users\Andrea\Desktop\TESIS\sano_axel\art27.wav,0.00900121782899749,15457.763671875,11.372966235649,31787.6059322034,15902.0634035808,0.00302140418187976,15772.705078125,11.3785493939448,31865.0688559322,15945.2552692516
