Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art10.wav,0.00836670660133464,15848.14453125,11.3670685298262,31891.0891089109,15950.1417067244,0.00987656379443992,15289.306640625,11.3746889339251,31922.9579207921,15974.1680421024
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art11.wav,0.00840850831512055,15798.33984375,11.3194733188781,31872.8323699422,16009.1744951659,0.00797215227247297,15640.869140625,11.385283888507,31802.539223782,15953.1352358565
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art12.wav,0.0177690584345293,16231.201171875,11.2338071687402,31893.4729064039,16025.6786589469,0.0149295170310825,16287.59765625,11.1095462294311,31968.9039408867,15971.7304056505
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art13.wav,0.017899010442738,16062.01171875,11.3453935162854,31977.5535420099,16022.9366434083,0.00931159174905336,15599.12109375,11.3962598823188,32034.6993410214,16060.0799915086
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art14.wav,0.0119922569277949,15648.92578125,11.3799585583401,31963.742810189,15995.6711310758,0.0118330746571301,15495.849609375,11.3410174464748,32001.0271158587,15960.2155521233
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art15.wav,0.00731701492892985,15505.37109375,11.2986589976994,31940.6866776316,15973.058925042,0.0108471244373015,15925.78125,11.3116484072647,31948.3963815789,15988.7095483429
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art16.wav,0.00528024427764274,15454.833984375,11.3164362300634,31888.3044554455,15921.1809374654,0.0164508235487699,15570.556640625,11.3329480491348,31981.7450495049,15943.9013827783
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art17.wav,0.0134920199345246,16250.244140625,11.2349826740346,31857.0396366639,16009.8224109766,0.00843039321630263,15791.015625,11.3987555132402,31807.8034682081,15978.2558579706
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art18.wav,0.00916008622229275,16207.03125,11.3206155846083,31895.3703703704,16014.8212933632,0.00644080275150463,15262.20703125,11.4154277921382,31899.3827160494,15934.7390059867
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art19.wav,0.0137527985530941,16245.1171875,11.3680654698973,31907.9433497537,15981.0477289052,0.0100039639643729,15752.197265625,11.2920091984833,31928.5714285714,16041.3967543258
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art2.wav,0.00449017320694448,15925.048828125,11.3264505085547,31963.5802469136,15993.5492239068,0.00339017685123084,15514.892578125,11.4208952618361,32018.5185185185,15928.2265482679
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art20.wav,0.00800068218915606,15547.8515625,11.3058783337781,31895.9703947368,15971.216744628,0.00427979694626323,16363.76953125,11.3840502606124,31857.421875,15987.7850564908
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art21.wav,0.0117987572458336,15436.5234375,11.3546957766569,31899.9384236453,15948.9964890234,0.00366892140932189,16244.384765625,11.4175031038176,31835.5911330049,16034.0541554946
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art22.wav,0.011143502493977,16053.955078125,11.3144041870601,31909.2874794069,15977.4032499739,0.00310570256212739,16652.34375,11.4162529978077,31793.1425041186,16097.3099513109
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art23.wav,0.00704555181712896,15936.03515625,11.36431493216,31951.5996718622,15939.926194141,0.0105053122172964,15767.578125,11.3559292909807,31912.5307629204,16033.0433492082
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art24.wav,0.0122268168937433,15566.89453125,11.374411003886,31912.5307629204,15973.1241517619,0.00465153821007124,15828.369140625,11.3949906150549,31829.1632485644,15930.9605977199
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art25.wav,0.0143757959856124,15939.697265625,11.3317280045972,31941.5372035977,15967.0349377623,0.0062341673251453,15352.294921875,11.3760964112145,31928.3524121014,15977.710382366
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art26.wav,0.0132638883982345,16040.771484375,11.3962643810238,31953.431372549,16040.6160822427,0.00572030971972954,16135.25390625,11.3167410819168,31860.9068627451,15996.2426921332
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art27.wav,0.0194167075715524,15599.853515625,11.3518809340739,31946.0040983607,15971.7591859623,0.00763712163000215,15257.8125,11.3652542386143,31779.0983606557,15927.174744629
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art28.wav,0.0190912481962477,15915.52734375,11.3084171233909,31882.0929276316,15976.6056757063,0.0047524634722493,15451.171875,11.3609304707951,31816.0978618421,15991.7386052794
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art29.wav,0.00883958220421441,16090.576171875,11.2577684850515,31856.1883223684,15990.8286347099,0.00527251622799714,15880.37109375,11.3936560142389,31844.1611842105,16070.0385426404
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art3.wav,0.0040856286284432,16053.955078125,11.1959332360863,31987.962962963,15977.7657581078,0.00262317290829508,16762.20703125,11.3417839486711,31890.7407407407,15954.5406516879
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art30.wav,0.0105664574990966,15917.724609375,11.3034898076643,31845.1844262295,15963.8105145188,0.00371101388238766,15457.03125,11.4113388382169,31839.9590163934,16008.5386953281
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art31.wav,0.0145532710032134,16189.453125,11.3343874800487,31893.7653814602,15993.8578162102,0.00829684095983966,16588.623046875,11.3696895017904,31937.1410992617,16057.4493659529
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art32.wav,0.00803888559003752,16763.671875,11.3358027515485,31869.4897959184,15943.9874670413,0.00856042253369997,15934.5703125,11.3764901593895,31906.5306122449,16020.1034435841
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art33.wav,0.0116590696800024,16463.37890625,11.2072666375605,31923.9795918367,16011.870591364,0.0116218886179426,15464.35546875,11.3532677807434,32015.8163265306,15983.3358062726
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art34.wav,0.0089196111878427,16607.666015625,11.2970306640237,31862.714987715,15960.0452602924,0.0139094928367828,16463.37890625,11.2661564138963,32028.8697788698,15980.1518612843
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art35.wav,0.00747381644645226,15303.955078125,11.3527297565135,31876.2244897959,15990.9073545278,0.00768745598017583,15884.765625,11.3151447448307,31938.0612244898,16007.2012419565
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art36.wav,0.00631062045906625,16242.1875,11.3443715557967,31892.5204918033,16086.2386155699,0.00633945501153411,16286.865234375,11.244067105536,31949.6926229508,15942.7165248636
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art37.wav,0.006841338070082,16814.208984375,11.405699384525,31938.4191176471,16041.8784886968,0.0100004152168514,16280.2734375,11.3591232982558,32008.5784313726,16038.4315232367
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art38.wav,0.00925120914418514,15705.322265625,11.2801662762123,31946.5601965602,15934.123093782,0.00901893383334617,15709.716796875,11.391788657953,32018.1203931204,15993.7821554452
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art39.wav,0.00790042383886212,15662.109375,11.3934783859936,31940.4713114754,15985.5209403463,0.00490356304226323,16068.603515625,11.3762651527719,31961.987704918,16000.2591436604
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art4.wav,0.0166320610469376,16040.0390625,11.3537462112921,31995.7574503311,15981.0491417001,0.00707484773546308,16321.2890625,11.3448496607382,32010.9685430464,16059.6189855028
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art40.wav,0.0136834053670833,16127.197265625,11.2846395638097,31967.8308823529,16032.860690842,0.015461596075222,16168.9453125,11.3557160158166,32002.7573529412,15971.7442104583
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art41.wav,0.0130117672174606,15950.68359375,11.3665233270854,31929.7131147541,15978.267843871,0.0156768626639961,15897.94921875,11.3575685533961,32044.0573770492,15976.5872458881
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art42.wav,0.0130718200311057,16667.724609375,11.4168748605021,31944.2165709598,15985.8269128664,0.0137438506137621,15910.400390625,11.3244050839865,31937.1410992617,15954.1425542101
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art5.wav,0.0181140745756296,15831.298828125,11.3511240427604,31931.2191103789,15990.7572848873,0.00749699024438795,16565.91796875,11.2193739435007,32029.1392092257,16027.7076475928
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art6.wav,0.0174274577759128,16157.958984375,11.3663411962665,31912.4381188119,16016.5414302892,0.00805764098235221,16162.353515625,11.3406294772204,31896.349009901,15956.5879348533
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art7.wav,0.0187347756183367,15738.28125,11.3706438483602,31933.950617284,15993.0727970794,0.00459471616664292,15579.345703125,11.4627831062724,31956.1728395062,15949.9863515923
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art8.wav,0.0173575366427323,16516.845703125,11.3401776349798,31983.7809917355,15966.2878301215,0.00498564355043635,16327.880859375,11.4070363896933,32012.2933884298,16097.0802297941
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art9.wav,0.0146624736014269,15506.103515625,11.3630251780841,31947.5308641975,15954.112328097,0.00960443195952493,15487.79296875,11.3435757807427,31962.037037037,15948.2097493304
