Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\sana\sana1.wav,0.00387748431128384,15845.21484375,11.2130112864625,31888.5802469136,15970.5029563833,0.0100723658407751,15884.765625,11.220010212478,31746.9135802469,15909.2117223245
C:\Users\Andrea\Desktop\TESIS\sana\sana10.wav,0.00212819560163382,15528.076171875,11.2442602531179,31912.4080130826,15914.3594330817,0.00535364770004208,15877.44140625,11.2508733730017,31804.4766966476,15924.9814626625
C:\Users\Andrea\Desktop\TESIS\sana\sana11.wav,0.00508288656854758,15420.41015625,11.3471169663513,31881.5136476427,15920.1548206219,0.0109155822696719,15782.958984375,11.2945881491061,31794.3548387097,15903.0005336149
C:\Users\Andrea\Desktop\TESIS\sana\sana12.wav,0.00313487090235381,15561.767578125,11.3291114733951,31852.8142974528,15873.8827483154,0.00714888384666416,15347.900390625,11.3473003209261,31756.6762530813,15884.0051609651
C:\Users\Andrea\Desktop\TESIS\sana\sana13.wav,0.00346636413538552,15919.921875,11.3772931832661,31864.161849711,15927.6160712497,0.00845041104071025,15447.509765625,11.3391088222464,31813.0677126342,15921.2362949766
C:\Users\Andrea\Desktop\TESIS\sana\sana14.wav,0.00379992484813793,15609.375,11.3576558329522,31887.1168185584,15933.8804129289,0.0114131576717753,15928.7109375,11.3341726262354,31760.9776304888,15906.4549573738
C:\Users\Andrea\Desktop\TESIS\sana\sana15.wav,0.00565485448466695,15738.28125,11.331865605254,31935.4338842975,15947.7824561586,0.0087557333471128,15588.134765625,11.3480662612471,31785.4338842975,15906.0742478474
C:\Users\Andrea\Desktop\TESIS\sana\sana16.wav,0.0030606092972366,15393.310546875,11.3608429001911,31906.017369727,15937.3204787378,0.00702474040409905,15785.15625,11.3490835165959,31815.1364764268,15892.8375893969
C:\Users\Andrea\Desktop\TESIS\sana\sana17.wav,0.00372685259438802,15377.197265625,11.3586100962442,31904.9629324547,15911.5000850923,0.00698646468516033,15689.94140625,11.3142906786269,31802.4093904448,15878.3124240216
C:\Users\Andrea\Desktop\TESIS\sana\sana18.wav,0.00379692287864119,15603.515625,11.3404105334406,31868.5024752475,15940.0517424574,0.00738683339770438,16336.669921875,11.3554097432192,31773.5148514851,15929.8200769695
C:\Users\Andrea\Desktop\TESIS\sana\sana19.wav,0.00901433116134816,16087.646484375,11.1678893358138,31802.8606965174,15894.0377924768,0.012526243599417,15937.5,11.0929647730838,31803.7935323383,15871.7826699953
C:\Users\Andrea\Desktop\TESIS\sana\sana2.wav,0.00225523016349509,15981.4453125,11.3416362751852,31877.4610336341,15975.7565728051,0.00531200931376144,15383.056640625,11.2971574806931,31755.9474979491,15888.5757926136
C:\Users\Andrea\Desktop\TESIS\sana\sana20.wav,0.00320871920163544,16404.052734375,11.4226005941063,31835.9950859951,15975.3402930564,0.00432491235453004,15224.853515625,11.368910691778,31800.0614250614,15918.9081287346
C:\Users\Andrea\Desktop\TESIS\sana\sana21.wav,0.00247334181175588,15711.9140625,11.4071041483073,31837.2524752475,15926.1374327594,0.00394399640841452,15613.76953125,11.4106538904922,31795.7920792079,15924.0365195943
C:\Users\Andrea\Desktop\TESIS\sana\sana22.wav,0.00387132690071553,15730.95703125,11.3684168456257,31815.3973509934,15914.8879067892,0.00667538180628787,15303.955078125,11.3244973739225,31797.0819536424,15912.2895603693
C:\Users\Andrea\Desktop\TESIS\sana\sana23.wav,0.0021747827352456,15837.890625,11.3715699784184,31898.6710963455,15937.8148329238,0.00442730829053109,15377.197265625,11.3691889167606,31803.6752491694,15927.257982201
C:\Users\Andrea\Desktop\TESIS\sana\sana24.wav,0.00417912088726742,15222.65625,11.3826717029191,31862.5311720698,15960.2953571041,0.00683290669513727,16196.77734375,11.3667257570334,31802.9925187032,16013.8736762678
C:\Users\Andrea\Desktop\TESIS\sana\sana25.wav,0.00276013687194922,15923.583984375,11.0561149980018,31886.1662531017,15990.4485294541,0.00355320709236131,15380.126953125,11.3394116046669,31784.429280397,15917.3069179061
C:\Users\Andrea\Desktop\TESIS\sana\sana26.wav,0.00294062240259739,16390.869140625,11.356930965447,31888.4375,15929.3002878937,0.00515376408039484,15295.8984375,11.3737078749076,31803.4375,15887.9595881518
C:\Users\Andrea\Desktop\TESIS\sana\sana27.wav,0.00347396340089227,15990.234375,11.4144274943204,31861.9834710744,15941.2141653528,0.00656603587826075,15339.84375,11.4059559054322,31836.8801652893,15928.0849549537
C:\Users\Andrea\Desktop\TESIS\sana\sana28.wav,0.00322020857365194,15454.1015625,11.3221460880379,31914.4407345576,15959.6231559395,0.00459141468771809,15788.0859375,11.3818378658777,31813.9607679466,15914.6664873728
C:\Users\Andrea\Desktop\TESIS\sana\sana29.wav,0.00267641796653605,15497.314453125,11.3442713334461,31860.2633779264,15921.3207517338,0.00419679255392571,16596.6796875,11.3606965243328,31801.6304347826,15915.3179621323
C:\Users\Andrea\Desktop\TESIS\sana\sana3.wav,0.00335096725450682,15646.728515625,11.3510009654327,31809.0760425184,15889.051956866,0.00593027425295842,15256.34765625,11.3244129940667,31754.8037612428,15885.4463320032
C:\Users\Andrea\Desktop\TESIS\sana\sana30.wav,0.0172523215193178,15321.533203125,10.9201419689035,31861.2040133779,15964.5439007471,0.0123703589446614,15664.306640625,11.0687715575726,31776.5468227425,15888.1919659936
C:\Users\Andrea\Desktop\TESIS\sana\sana31.wav,0.00535973077582189,15541.9921875,11.2947060666825,31876.8765638032,15917.2136247513,0.00585453934787119,15819.580078125,11.3644564493607,31818.7030859049,15929.6050957327
C:\Users\Andrea\Desktop\TESIS\sana\sana32.wav,0.00720969341123819,16453.857421875,11.1438382890958,31891.5763135947,16011.3485382997,0.00466721601415331,15626.953125,11.3829797683907,31813.3861551293,15963.7587806036
C:\Users\Andrea\Desktop\TESIS\sana\sana33.wav,0.00970647017326411,16773.193359375,11.0718336139046,31854.5048701299,16008.4924255687,0.00980927799850221,15842.28515625,10.9947456308239,31809.2532467532,15896.2317408716
C:\Users\Andrea\Desktop\TESIS\sana\sana34.wav,0.00278937173644316,15682.6171875,11.3758677985919,31813.7796336207,15905.6145622388,0.0146719501832457,15922.8515625,11.2890931396404,31891.7699353448,15983.918910219
C:\Users\Andrea\Desktop\TESIS\sana\sana35.wav,0.00275156554839957,16080.322265625,11.3801812159218,31808.5958718088,15903.4757701669,0.00437191030728199,15667.236328125,11.3706861148031,31773.7642585551,15902.0033322526
C:\Users\Andrea\Desktop\TESIS\sana\sana36.wav,0.0059237163017864,15848.14453125,11.0465697492783,31845.1704545455,15942.655296239,0.00840693897396666,15847.412109375,11.0924235563316,31771.3068181818,15980.459455594
C:\Users\Andrea\Desktop\TESIS\sana\sana37.wav,0.00314567644249185,15489.990234375,11.2868074777472,31784.4827586207,15894.6024751419,0.00386693812994682,15364.74609375,11.3730306128082,31742.0528017241,15895.9740180669
C:\Users\Andrea\Desktop\TESIS\sana\sana38.wav,0.00237065547592039,15865.72265625,11.3865849741135,31815.137987013,15899.2897263503,0.00420407329397978,15481.201171875,11.3660337350705,31776.3798701299,15861.0802819469
C:\Users\Andrea\Desktop\TESIS\sana\sana39.wav,0.00262135914061429,15421.875,11.3970653772462,31781.6540948276,15903.7489529012,0.0038639262551222,15558.837890625,11.3840791361975,31767.1066810345,15893.9595893931
