Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\sano_axel\art1.wav,0.00734235124261563,15768.310546875,10.3496955186486,32025.7547669492,16006.045274827,0.00280307327555833,15745.60546875,10.3564130655138,32008.6731991525,16017.2303897093
C:\Users\Andrea\Desktop\TESIS\sano_axel\art10.wav,0.00547576059873643,16152.83203125,10.3355807643995,32029.1313559322,16007.9555271594,0.0023936160272178,16173.33984375,10.3545650609333,32028.5354872881,16017.2658758637
C:\Users\Andrea\Desktop\TESIS\sano_axel\art11.wav,0.00540411520023719,15838.623046875,10.3150874728591,32008.8718220339,15998.6658213694,0.00260912327420461,15723.6328125,10.3404571225936,32026.5492584746,16011.4619335616
C:\Users\Andrea\Desktop\TESIS\sano_axel\art12.wav,0.0060292085234912,15704.58984375,10.3822579008457,32058.3289194915,16015.5476827095,0.00221703174535115,15941.89453125,10.3553077060416,32041.2473516949,16013.6991784317
C:\Users\Andrea\Desktop\TESIS\sano_axel\art13.wav,0.00823794273201198,15910.400390625,10.33906718486,32009.6663135593,16024.1800643675,0.0023550647220201,16293.45703125,10.3331504015427,32030.124470339,16023.0953394297
C:\Users\Andrea\Desktop\TESIS\sano_axel\art14.wav,0.00898200150425851,15836.42578125,10.3469042893566,31986.2288135593,16008.5630140796,0.00341529015277309,15859.130859375,10.230462098843,32030.7203389831,16010.2570770125
C:\Users\Andrea\Desktop\TESIS\sano_axel\art15.wav,0.00629602432833977,15750,10.3451835882973,31997.3516949153,16002.9325294228,0.00297214605796357,15791.015625,10.3935542476005,32036.8776483051,16036.7662382466
C:\Users\Andrea\Desktop\TESIS\sano_axel\art16.wav,0.00776806984888141,16173.33984375,10.3313234449014,32009.8649364407,16030.9160983935,0.00274186991329154,15980.712890625,10.3380801499579,32034.4941737288,16024.4387567109
C:\Users\Andrea\Desktop\TESIS\sano_axel\art17.wav,0.00520136205092812,16248.779296875,10.3282324921061,32008.0773305085,16033.5107037819,0.00185869064543104,16201.904296875,10.3692685941864,32016.4194915254,16020.3514059186
C:\Users\Andrea\Desktop\TESIS\sano_axel\art18.wav,0.00623139157801311,16244.384765625,10.3147157315239,32019.0015889831,16030.6046124416,0.00193363824741604,15856.201171875,10.3665068159733,32045.6170550847,16011.2010061367
C:\Users\Andrea\Desktop\TESIS\sano_axel\art19.wav,0.00743817095201956,16326.416015625,10.3235315166316,32011.0566737288,16028.3481487225,0.00207793813351173,15807.12890625,10.3434262043589,32031.3162076271,16032.137191957
C:\Users\Andrea\Desktop\TESIS\sano_axel\art2.wav,0.00754801332349578,16169.677734375,10.3423193152624,32007.8787076271,16029.6830971142,0.00509905084974677,15860.595703125,10.2726033398142,32023.3712923729,15938.7549765759
C:\Users\Andrea\Desktop\TESIS\sano_axel\art20.wav,0.00645115316696498,16160.888671875,10.3857596932204,32012.6456567797,16025.7335499256,0.00249930661098637,15928.7109375,10.3326108263091,32012.6456567797,16020.4618285168
C:\Users\Andrea\Desktop\TESIS\sano_axel\art21.wav,0.00504445893122514,15766.11328125,10.3623040249185,31998.7420550847,16004.9173388058,0.00219855835591389,16002.685546875,10.3865838805505,32014.6318855932,16008.7513864191
C:\Users\Andrea\Desktop\TESIS\sano_axel\art22.wav,0.00751526817086298,16333.740234375,10.3150892926527,32027.5423728814,16008.6458567876,0.00212704831941065,15881.103515625,10.349744998916,32008.0773305085,16010.0626239118
C:\Users\Andrea\Desktop\TESIS\sano_axel\art23.wav,0.008135133087354,16190.91796875,10.3712125107194,32003.90625,16016.4631516274,0.00227003100900812,16055.419921875,10.352331566176,32005.4952330508,16011.0133161502
C:\Users\Andrea\Desktop\TESIS\sano_axel\art24.wav,0.0094830579791265,16007.8125,10.3550083751919,32002.5158898305,16016.7181185431,0.00209168698393356,16346.923828125,10.3557686647513,32000.3310381356,16010.2367042923
C:\Users\Andrea\Desktop\TESIS\sano_axel\art25.wav,0.00811851507982672,15733.154296875,10.3550617508136,32006.4883474576,16003.7641537496,0.00200564371154135,15733.88671875,10.3535229498164,32028.7341101695,16030.4144476316
C:\Users\Andrea\Desktop\TESIS\sano_axel\art26.wav,0.00771109897441601,15746.337890625,10.3621180515717,32005.8924788136,16018.4793080475,0.00236878031173568,15799.072265625,10.3793762447468,32023.5699152542,16019.2425670509
C:\Users\Andrea\Desktop\TESIS\sano_axel\art27.wav,0.00622099258054123,15999.755859375,10.3521097868291,32003.3103813559,16011.0346815389,0.00214681545470716,15772.705078125,10.3675165733669,32010.2621822034,16008.5671080505
C:\Users\Andrea\Desktop\TESIS\sano_axel\art28.wav,0.00487707690491618,16210.693359375,10.3367737031481,32032.905190678,16028.0520163318,0.00207482093848487,16010.009765625,10.3697704588774,32030.124470339,16019.073974253
C:\Users\Andrea\Desktop\TESIS\sano_axel\art29.wav,0.0068647506732797,16062.744140625,10.3818477568218,32026.6295707472,16012.9930509784,0.00199246116900008,15684.08203125,10.3854070995189,32031.200317965,16029.6087773655
C:\Users\Andrea\Desktop\TESIS\sano_axel\art3.wav,0.0079011407009483,16146.97265625,10.3011080484835,32012.4470338983,16017.2137366454,0.00456517915330666,16315.4296875,10.2997986923414,32025.3575211864,16037.9242332513
C:\Users\Andrea\Desktop\TESIS\sano_axel\art30.wav,0.00745396318232314,15819.580078125,10.3841604148659,32023.7685381356,16012.5849831707,0.00185404798279719,16088.37890625,10.3670098650352,32043.4322033898,16032.9468622394
C:\Users\Andrea\Desktop\TESIS\sano_axel\art31.wav,0.00719319038715504,16270.01953125,10.3611182805653,32011.0566737288,16003.7525593745,0.00185102881102715,15863.525390625,10.3755341160749,32025.1588983051,16031.3454291251
C:\Users\Andrea\Desktop\TESIS\sano_axel\art32.wav,0.00785016048946219,15739.013671875,10.3774374118499,32006.686970339,16011.0499520567,0.0021889605032092,16352.783203125,10.3770262155277,32026.3506355932,16046.6266798309
C:\Users\Andrea\Desktop\TESIS\sano_axel\art33.wav,0.00581047173442472,15849.609375,10.3509045848175,32006.686970339,16012.1022385604,0.00275688368807815,15752.9296875,10.3711958217836,31991.9888771186,15996.7685603982
C:\Users\Andrea\Desktop\TESIS\sano_axel\art34.wav,0.00655340367658997,16190.185546875,10.3546971809775,31998.9406779661,16009.5414788708,0.00204952612318924,16226.07421875,10.3733752722103,32040.2542372881,16031.59042508
