Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial1.wav,0.00414848693560387,15655.517578125,11.2968329663827,31865.1071723001,15956.744315735,0.00294632466817544,15551.513671875,11.3407779369793,31755.3586150041,15890.1423181278
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial10.wav,0.00394535642077439,15003.662109375,11.3944135126756,31660.5382087099,15858.6676394572,0.00296508095067105,15039.55078125,11.3304214918805,31732.9498767461,15851.5213859625
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial11.wav,0.00462795273776486,15685.546875,11.3692631606914,31639.0139116203,15863.6291324567,0.00326644725175625,15069.580078125,11.3036113380554,31743.0441898527,15845.84572656
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial12.wav,0.00397156705916176,15106.201171875,11.39182712783,31615.1234567901,15859.7974289009,0.00332359158000349,15487.79296875,11.3320792717423,31693.5185185185,15823.6963997709
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial13.wav,0.00396755275489925,15112.79296875,11.374741190578,31599.2827868852,15804.0718017938,0.00230177202751007,15083.49609375,11.370954338229,31613.1147540984,15833.927772539
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial14.wav,0.00437079543739821,15572.75390625,11.3534613944772,31622.4427168576,15841.6069759774,0.00219783277823029,15005.126953125,11.3219007021582,31741.5098199673,15880.8028770218
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial15.wav,0.00505114206836225,15114.990234375,11.3834024718302,31606.5724815725,15847.789365985,0.0025383851955458,15143.5546875,11.3849541399311,31700.2457002457,15868.8410501529
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial16.wav,0.00528853616378639,15775.634765625,11.3926906755764,31586.5384615385,15860.9357808648,0.00252658477944036,15044.677734375,11.3782267069192,31630.1145662848,15866.3360209147
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial17.wav,0.00282883563365219,15055.6640625,11.3772637219584,31775.9259259259,15893.4533654814,0.00253166072237495,15441.650390625,11.3958709362902,31635.1851851852,15861.6260902765
C:\Users\Andrea\Desktop\TESIS\Diagnosticado\trial18.wav,0.00425739789648918,15514.16015625,11.4069292547324,31685.192780968,15850.423937631,0.00327121501375554,15046.875,11.4216856102554,31689.4995898277,15896.7197539952
