Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\sano_axel\art1.wav,0.0106127028266063,15069.580078125,11.4116408498219,31740.9295550847,15882.5243892997,0.00407891059410183,15047.607421875,11.4048577371197,31733.5805084746,15911.683756449
C:\Users\Andrea\Desktop\TESIS\sano_axel\art10.wav,0.00798393949078328,15071.044921875,11.4090338165118,31763.969809322,15916.0999665638,0.0034644768109083,15145.01953125,11.4179834032119,31855.3363347458,15931.4985046942
C:\Users\Andrea\Desktop\TESIS\sano_axel\art11.wav,0.00793858210664511,15517.08984375,11.3441983513366,31765.1615466102,15936.3556807501,0.00394298763354628,15032.958984375,11.3913278835759,31845.405190678,15925.6954814202
C:\Users\Andrea\Desktop\TESIS\sano_axel\art12.wav,0.00870014528618009,15103.271484375,11.4137922977479,31840.0423728814,15910.383891962,0.00323045931397738,16959.228515625,11.4238623362202,31807.6668432203,15901.9676163898
C:\Users\Andrea\Desktop\TESIS\sano_axel\art13.wav,0.0117364088222455,15604.98046875,11.410481579009,31694.0545550847,15926.2217769359,0.0034282877066878,16293.45703125,11.3926824311763,31837.2616525424,15937.9973897774
C:\Users\Andrea\Desktop\TESIS\sano_axel\art14.wav,0.0130292264544825,16634.033203125,11.3919345024215,31712.5264830508,15902.6170171393,0.00521164268315451,15859.130859375,11.3251237327882,31875.3972457627,15883.7774498483
C:\Users\Andrea\Desktop\TESIS\sano_axel\art15.wav,0.00918885509897769,15202.1484375,11.3585959280661,31716.6975635593,15850.631754991,0.00449725819421745,16592.28515625,11.4341098194185,31888.9036016949,15967.3781994851
C:\Users\Andrea\Desktop\TESIS\sano_axel\art16.wav,0.0114996385897945,16457.51953125,11.3775034042073,31739.936440678,15924.2029094059,0.00390280952308946,15618.1640625,11.3946901775812,31866.4592161017,15973.6825631197
C:\Users\Andrea\Desktop\TESIS\sano_axel\art17.wav,0.00772510476424425,15030.029296875,11.3711001719689,31711.9306144068,15873.103500282,0.00270095348388353,15179.443359375,11.4303721420513,31757.8125,15920.0352172674
C:\Users\Andrea\Desktop\TESIS\sano_axel\art18.wav,0.00892827746672211,15512.6953125,11.384274465723,31756.6207627119,15907.9662297739,0.0028764871795458,15499.51171875,11.4168099937583,31850.5693855932,15928.2067306009
C:\Users\Andrea\Desktop\TESIS\sano_axel\art19.wav,0.0105619845054988,15069.580078125,11.3862097244625,31748.874470339,15890.6124253815,0.00296556533032744,15104.00390625,11.4145098462421,31874.8013771186,15967.8903740587
C:\Users\Andrea\Desktop\TESIS\sano_axel\art2.wav,0.0108605970911504,15104.736328125,11.4009886154551,31667.0418432203,15921.142272929,0.00811763362154925,15035.888671875,11.1592954446519,31765.9560381356,15621.7625704101
C:\Users\Andrea\Desktop\TESIS\sano_axel\art20.wav,0.00937236439771647,15037.353515625,11.418615000486,31730.2039194915,15926.5012863254,0.00348074171616693,15046.875,11.436694307334,31782.0444915254,15939.0354122974
C:\Users\Andrea\Desktop\TESIS\sano_axel\art21.wav,0.00756809842881047,15280.517578125,11.3829525305716,31719.0810381356,15868.1883398141,0.0031852886027547,15321.533203125,11.4059852562023,31721.8617584746,15880.6489667875
